title,price,location,year,mileage,engine,link,posted_date,featured,scraped_at,price_numeric,year_numeric,mileage_numeric
Toyota Raize  2020 Z for Sale,PKR 61.5lacs,2020,2020,"40,000 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-10853112,N/A,Yes,2025-11-21 17:02:51,,2020,40000
Suzuki Alto  2024 VXR for Sale,PKR 27.5lacs,2024,2024,"27,000 km",660 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2024-for-sale-in-karachi-10853577,N/A,Yes,2025-11-21 17:02:51,,2024,27000
Toyota Vitz  2013 F 1.0 for Sale6.7/10,PKR 25.9lacs,2013,2013,"104,498 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-vitz-2013-for-sale-in-karachi-10817403,N/A,Yes,2025-11-21 17:02:51,,2013,104498
Daihatsu Rocky  2020 G for Sale,PKR 60.5lacs,2020,2020,"56,000 km",1000 cc,https://www.pakwheels.com/used-cars/daihatsu-rocky-2020-for-sale-in-karachi-10844016,N/A,Yes,2025-11-21 17:02:51,,2020,56000
Toyota Yaris Hatchback  2022 G for Sale,PKR 54lacs,2022,2022,"13,000 km",1500 cc,https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2022-for-sale-in-karachi-10853543,N/A,Yes,2025-11-21 17:02:51,,2022,13000
Honda Civic  2015 VTi 1.8 i-VTEC for Sale,PKR 28.95lacs,2015,2015,"77,000 km",1800 cc,https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-karachi-10802815,N/A,Yes,2025-11-21 17:02:51,,2015,77000
KIA Sportage  2022 AWD for Sale,PKR 75lacs,2022,2000,"39,000 km",2000 cc,https://www.pakwheels.com/used-cars/kia-sportage-2022-for-sale-in-karachi-10853533,N/A,Yes,2025-11-21 17:02:51,,2000,39000
Honda Civic  2022 1.5 VTEC Turbo Oriel for Sale,PKR 74lacs,2022,2022,"50,000 km",1500 cc,https://www.pakwheels.com/used-cars/honda-civic-2022-for-sale-in-karachi-10853506,N/A,Yes,2025-11-21 17:02:51,,2022,50000
Suzuki Alto  2007 VXR (CNG) for Sale3.4/10,PKR 8.3lacs,2007,2007,"206,913 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-alto-2007-for-sale-in-karachi-10816109,N/A,Yes,2025-11-21 17:02:51,,2007,206913
Toyota Corolla  2021 Altis Automatic 1.6 for Sale,PKR 52.75lacs,2021,2021,"41,000 km",1600 cc,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-karachi-10853489,N/A,Yes,2025-11-21 17:02:51,,2021,41000
Changan Alsvin  2025 1.5L DCT Lumiere for Sale,PKR 47lacs,2025,2025,"7,000 km",1500 cc,https://www.pakwheels.com/used-cars/changan-alsvin-2025-for-sale-in-karachi-10852582,N/A,Yes,2025-11-21 17:02:51,,2025,7000
Toyota Raize  2020 Z for Sale,PKR 62.75lacs,2020,2020,"67,000 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-10844008,N/A,Yes,2025-11-21 17:02:51,,2020,67000
KIA Sportage  2022 FWD for Sale,PKR 71lacs,2022,2000,"34,000 km",2000 cc,https://www.pakwheels.com/used-cars/kia-sportage-2022-for-sale-in-karachi-10853581,N/A,No,2025-11-21 17:02:51,,2000,34000
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC for Sale,PKR 32lacs,2018,2018,"169,000 km",1300 cc,https://www.pakwheels.com/used-cars/honda-city-2018-for-sale-in-karachi-10853578,N/A,No,2025-11-21 17:02:51,,2018,169000
Toyota Corolla Cross  2025 1.8 HEV X for Sale,PKR 88.5lacs,2025,2025,"8,000 km",1800 cc,https://www.pakwheels.com/used-cars/toyota-corolla-cross-2025-for-sale-in-karachi-10853565,N/A,No,2025-11-21 17:02:51,,2025,8000
Suzuki Mehran  2011 VX for Sale,PKR 5.29lacs,2011,2011,"100,000 km",800 cc,https://www.pakwheels.com/used-cars/suzuki-mehran-2011-for-sale-in-karachi-10853554,N/A,No,2025-11-21 17:02:51,,2011,100000
Mazda Other  2011  for Sale,PKR 35lacs,2011,2011,"100,000 km",3500 cc,https://www.pakwheels.com/used-cars/mazda-other-2011-for-sale-in-karachi-10853532,N/A,No,2025-11-21 17:02:51,,2011,100000
Toyota Yaris Sedan  2021 GLI CVT 1.3 for Sale,PKR 40lacs,2021,2021,"90,000 km",1300 cc,https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2021-for-sale-in-karachi-10853520,N/A,No,2025-11-21 17:02:51,,2021,90000
Suzuki Cultus  2012 VXRi for Sale,PKR 4.8lacs,2012,2012,"5,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-cultus-2012-for-sale-in-karachi-10853519,N/A,No,2025-11-21 17:02:51,,2012,5000
Suzuki Cultus  2007 VXRi for Sale,PKR 8.3lacs,2007,2007,"10,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-cultus-2007-for-sale-in-karachi-10853517,N/A,No,2025-11-21 17:02:51,,2007,10000
KIA Picanto  2024 1.0 MT for Sale,PKR 35lacs,2024,2024,60 km,1000 cc,https://www.pakwheels.com/used-cars/kia-picanto-2024-for-sale-in-karachi-10853502,N/A,No,2025-11-21 17:02:51,,2024,60
Honda Civic  2001 VTi Oriel Prosmatec 1.6 for Sale,PKR 13lacs,2001,2001,"141,000 km",1600 cc,https://www.pakwheels.com/used-cars/honda-civic-2001-for-sale-in-karachi-10853499,N/A,No,2025-11-21 17:02:51,,2001,141000
KIA Classic  2001 LX for Sale,PKR 3.5lacs,2001,2001,"180,000 km",1323 cc,https://www.pakwheels.com/used-cars/kia-classic-2001-for-sale-in-karachi-10853498,N/A,No,2025-11-21 17:02:51,,2001,180000
Toyota Prado  2009 TZ 4.0 for Sale,PKR 1.72crore,2009,2009,"30,033 km",4000 cc,https://www.pakwheels.com/used-cars/toyota-prado-2009-for-sale-in-karachi-10853440,N/A,No,2025-11-21 17:02:51,,2009,30033
Suzuki Mehran  1991 VXR for Sale,PKR 2.7lacs,1991,1991,"1,000 km",800 cc,https://www.pakwheels.com/used-cars/suzuki-mehran-1991-for-sale-in-karachi-10853480,N/A,No,2025-11-21 17:02:51,,1991,1000
Toyota Raize  2020 Z for Sale,PKR 57.5lacs,2020,2020,"35,000 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-10853083,N/A,Yes,2025-11-21 17:03:05,,2020,35000
Suzuki Cultus  2011 VXRi for Sale2.9/10,PKR 10.9lacs,2011,2011,"2,286 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-cultus-2011-for-sale-in-karachi-10722207,N/A,Yes,2025-11-21 17:03:05,,2011,2286
Honda Civic  2019 Oriel 1.8 i-VTEC CVT for Sale,PKR 53.75lacs,2019,2019,"51,000 km",1800 cc,https://www.pakwheels.com/used-cars/honda-civic-2019-for-sale-in-karachi-10768961,N/A,Yes,2025-11-21 17:03:05,,2019,51000
Toyota Corolla  2023 Altis 1.6 X CVT-i for Sale,PKR 61.75lacs,2023,2023,"13,000 km",1600 cc,https://www.pakwheels.com/used-cars/toyota-corolla-2023-for-sale-in-karachi-10779769,N/A,Yes,2025-11-21 17:03:05,,2023,13000
Daihatsu Mira  2022 X SA lll for Sale,PKR 36.5lacs,2022,2022,"26,000 km",660 cc,https://www.pakwheels.com/used-cars/daihatsu-mira-2022-for-sale-in-karachi-10850754,N/A,Yes,2025-11-21 17:03:05,,2022,26000
Toyota Raize  2021  for Sale,PKR 66.5lacs,2021,2021,"10,393 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-raize-2021-for-sale-in-karachi-10850523,N/A,Yes,2025-11-21 17:03:05,,2021,10393
Toyota Corolla  2024 Altis Grande X CVT-i 1.8 Black Interior for Sale,PKR 74.75lacs,2024,2024,"26,000 km",1800 cc,https://www.pakwheels.com/used-cars/toyota-corolla-2024-for-sale-in-karachi-10792898,N/A,Yes,2025-11-21 17:03:05,,2024,26000
Toyota Raize  2020 Z for Sale9.6/10,PKR 57.5lacs,2020,2020,"21,202 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-karachi-10853288,N/A,Yes,2025-11-21 17:03:05,,2020,21202
